,Date,Rating,Title,Review
43,16 August 2019,40,Not bad,Visited here with my son whilst on a break for his birthday. Prices reasonable compared to some NY prices and service was extremely good. We booked in advance so we did not have to wait. Thoroughly enjoyed. Nachos were fab.
44,8 August 2019,40,Best Hard Rock,I have visited a few Hard Rocks before and not too impressed but this one was very good. Some great memorabilia on display then good food and great service. Enjoyable.
45,7 August 2019,50,Excellent menu....eclectic atmosphere,"Excellent menu, eclectic atmosphere along with great location! I visited there with a bunch of friends and had a great time."
46,7 August 2019,40,Solid experience,We spent a nice family/birthday dinner at Hard Rock. Very nice service and the food delivered at the expected level. No surprises good or bad. Good atmosphere.
47,16 July 2019,50,Great for a group visit,"Awesome atmosphere, great service. All the music stuff was great. The food and service were really great too."
48,14 July 2019,40,Just roght,After a big disappointment in another restaurant I opted for the safe bet for a late lunch and were not disappointed. Food was great. Service prompt and attentive ambience fantastic. A pleasant surprise in time square
49,12 July 2019,50,Best Sweet Sixteen ever!,My daughter and her friends took a limo into the city and would not have missed hanging out at HRC. They were even lucky enough to catch an awesome Hoobastank set! The Whiskey Bacon Jam Sliders are killer!
50,10 July 2019,50,Pleasent atmosphere,"Fast service and pleasant atmosphere, you would never believe that you are in Times Square, Food was served fast and to our liking,"
51,9 July 2019,50,Great Food,We had an hour before a show and our waitress was very helpful and efficient. The food was fast and delicious.
52,7 July 2019,50,Beatles/John Lennon fans ***must see!,"As any Hard Rock Cafe, the food is decent and the beer is cold. Service was pleasant. But the reason for our visit was to see the really cool Beatles and John Lennon memorabilia. A must see for any fan."
53,4 July 2019,50,GREAT.,I have already been to Hard Rock in London but this one is FANTASTIC. The food was very good and the people very nice. The place is huge. I loved it.
54,28 June 2019,50,"Excellent Service, Delicious Food, Huge Inside","This is the best Hard Rock I have been to in my travels. Perfect location, very good staff, the good was amazing. Such fun drinks to order, with or without alcohol."
55,22 June 2019,50,Always an awesome time at the HRC in NYC,My wife and I stopped in for some lunch and drinks and Raffe the bartender took great care of us. Our drinks were made just right and my burger was cooked to perfection. Bravo HRC NYC for your great service.
56,19 June 2019,40,Great steak,"Booked a meal in June ,live band great food great service.Great Hard Rock smack bang in Times Square."
57,14 June 2019,50,Very lively. Good times,"What's to say, it's a Hard Rock Cafe. Oh, wait, in NYC on Broadway. Had a blast. The ""Adult"" beverages were nice and COLD! Food was pretty good too. Loved the atmosphere. Staff was really friendly."
58,13 June 2019,50,Great atmosphere and food,We stopped by late one night. We were taken right to at table. The food was very good and priced pretty good. More for the environment. Located right in Time Square.
59,8 June 2019,50,Great dining experience,"Went to the Hard Rock Cafe after a wander round Times Square. Fabulous memorabilia on show, great food, live music and exceptional service."
60,8 June 2019,30,Decent,Decent food but great atmosphere. A good place to grab a bite and be entertained. My kids loved seeing the guitars and watching the music videos.
61,6 June 2019,40,New York Visit,"Went in for a quick breskfast, realised it was a buffet.. bonus. Pretty good food for a very limited small sized buffet. great atmosphere. excellent service."
62,6 June 2019,40,fantastic experience,very friendly staff and food is excellent. Combined with the items from Rock'n Roll history exhibited made the experience a very good one.
63,6 June 2019,30,Meh,The food as usual was ok. Not amazing but not awful either. The server was really nice and took their time chatting with us. Cool to see the memorabilia.
64,5 June 2019,50,Rocking,"As always, another HR venue to tick off, glass collection building. Great food, great atmosphere great service great location in Time sq."
65,3 June 2019,50,Wonderful,We didn’t have to wait for a table. Our service was pretty good and food was great! Best burger I’ve ever had! Great atmosphere too!
66,2 June 2019,50,Good Venue,A very busy restaurant so making a booking is essential. Service relatively quick considering the number of guest.
67,30 May 2019,50,Good vibes,Hard Rock Coffee is cool for a drink and music. I enjoyed discovering old fashioned bass from Beatles and was full after a meal.
68,29 May 2019,50,Amazing,"If you are a music fan then you must visit Hard Rock Cafe this is a must do,we went there three times for brunch and it was excellent value"
69,27 May 2019,40,Twice on one day!,"After having lunch at the Hard Rock Cafe, we also ended up at the HRC for dinner (couldn’t find an alternative around 11pm). The food, drinks and service is super. So much better than my last visit in the HRC in Brussels."
70,27 May 2019,10,Hardly cafe,"Stay away! Get a pretzel! We had ordered for 16 people, but ended up at five different tables. And our burgers were some of the worst I’ve ever had! No. Just no!"
71,26 May 2019,50,Birthday,"This was my birthday treat , making memories It was a fab night with fab food with fab service what else can you ask for x"
72,23 May 2019,40,good music and astmosphere,Had booked before we travelled and only waited for 5 minutes to be seated. Our waitress was attentive and happy to talk and take our photos. Food was average to me but had very nice cocktail.
73,13 May 2019,40,Great burgers shame they charge to be healthier,"I love the burgers in Hard Rock, the only one thing I don’t like is to eat healthy I had to pay an additional $3.50 to swap out my fries for a salad wanting to eat a healthier option should not be an additional cost."
74,8 May 2019,50,Great time at the bar,"Waiter was so much fun - food was good also! Restaurant was packed, but we sat at the bar and had lunch. Great time!"
75,7 May 2019,50,Time Square & Hard Rock,Time Square & Hard Rock it is the best combinations that you must have in New York City ... is the most and amazing place to stay every time !!! 👍👍👍👍👍👍🍾🍾🍾🍾🍾
76,28 April 2019,40,One off,Came here for our last meal before flying back to the u.k.It's a fantastic place if you are into music and memorabilia it might be a little pricey for what you get but for a one off visit it can't be beaten.
77,23 April 2019,50,Typical Hard Rock,Always enjoy Hard Rock Cafe and this one was as good as any. Music not overly loud ~ which was good. Food as expected with portion size good. Service great. Drinks slightly overpriced.
78,21 April 2019,50,Birthday Treat,"Where ever we are in the world it has to be the Hard Rock,we love this place,the atmosphere,the music,the food,the shop."
79,20 April 2019,50,Great music...,"...great food. We all enjoyed the California Cobb Salad for lunch before a Saturday matinee. Friendly service, attentive without being overbearing. The salad was out of this world with flavor and freshness. Nice ambience and great music."
80,16 April 2019,40,Hard Rock Cafe,Really enjoyable meal! We had heard the quality could be hit or miss but couldn’t fault the food! Really recommend booking in advance (we did this the morning we were planning on going) as the wait times can be long!!
81,14 April 2019,50,Great breakfast 🍳☕,"Went for breakfast on my 60th birthday. What a way to start the day, all you can eat buffet, mimosas, coffee, pancakes, waffles, didn't need to eat again till night time !"
82,12 April 2019,40,Enjoyable family meal. Food good and great service,Family visit when it was not busy and the service was good. The food was expensive but of a high quality. It remains my childrens' favourite meal of the NYC holiday
83,5 April 2019,50,Superb,This was probably the best meal we had during our stay. The Service from Luis was supberb. I have to day it was the most expensive meal we had whilst in New York but I guess you get what u pay for.
84,2 April 2019,40,Fun place to eat,"Hard Rock Cafe was everything I expected it to be. The food was tasty, staff friendly and they provided a good service. Certainly worth checking out if you're in the area."
85,1 April 2019,40,Fun in Times Square,This is the best Hard Rock I have been to and I have visited many around the world. The dining area is very large and staff are super friendly. You need to expect a busy restaurant with a hoard of tourists.
86,31 March 2019,40,Always Fun,A very nice Hard Rock Cafe location. The food and service was great. Aways like to visit Hard Rock when I can.
87,28 March 2019,50,Fabulous as always!!,"Loved the size of this cafe, good location, great food, space to move around the memorabilia. Will definitley be visiting again!"
88,25 March 2019,40,Easy in and out,Go for late lunch/early dinner. No wait at all. You will get your photo taken upon arrival so be prepared if you want to do a cool rockstar pose.
89,21 March 2019,50,A Solid Rock Experience,"It's cool to get to see rock icons' stuff all over the place and to enjoy a beer in the bar. Great service and comfy place. thanks, HRC."
90,16 March 2019,50,Busy Busy Busy,"Worth the wait, the meals are huge and the drinks too. WE skipped starters and went straight for mains and desserts. Worth every minute waiting (20mins) The service is extremely busy and still very good service. Can be noisy at times ask for quieter table."
91,10 March 2019,50,Great!,"Came with my partner for steaks. Steak was absolutely beautiful, fell apart as you cut it, perfection. Service great, drinks very nice, food to die for. Got our daughter a T-shirt on the way out and the man in the gift shop was very kind."
92,3 March 2019,50,Tripadvisor,Well this place rocks and roll great fun food pool beer wine and more the rms r all big clean great view too
93,28 February 2019,40,Dinner for two,"Had to try it out whilst in USA, I would reccomend didnt manage to see any music / band whilst in here, how ever for was tastey seems to be the going rate for priced food locally worth a visit"
94,27 February 2019,50,Lovely food and great experience,Such a great experience and abeyance with good background music. The food was lovely and the staff were great and got some gift vouchers for the shop.
95,22 February 2019,50,Best burger ever,Best burger I ever had.... Prices are too cheap. I think I will be returning. Drink prices are also average.
96,20 February 2019,50,Rock and roll,"Hard rock cafe is all over the world but this is the original and best one i have been to, great service ,great food and enjoyed listening to all the tunes ."
97,19 February 2019,50,Best place to eat,"I love any hard rock cafe, this one was just as good and just looking at the building was amazing. From the outside it looks like a theatre which is amazing."
98,19 February 2019,40,"Great service, good food","Had a fab meal here, good food as always and exceptional service from our server Shaun. Kids loved it"
99,14 February 2019,50,Fantastic,"What a fun delightful place, amazing decor friendly staff and lovely food, we nipped in a few times while in Times Square, food portions plenty and tasty atmosphere was fantastic"
100,13 February 2019,50,great location,"Great location and good food NY City food is pricey, so this is too great memberlia around restaurant"
101,13 February 2019,40,Great music ambience,"Went there a long time ago, love their nachos, it was a bit busy and took a while to be served but liked it anyway!"
102,12 February 2019,50,"Great food, Great atmosphere",My boyfriend and I came here a few times because the food was so good and the atmosphere was electric! All the staff are very friendly and attentive to your every need. Would definately recommend!
103,5 February 2019,50,First time at Hard Rock,"Really enjoyed this restaurant, had the impossible burger was delicious. Loved the service and the cocktails and of course the music. Give it a go, book online before hand as it can be busy :-)"
104,20 January 2019,40,Great Visit,"We booked to come here for lunch. The service was very good and friendly. The food was recieved pretty quickly. The food quality was very good, the meals were cooked to order and we were quite happy."
105,18 January 2019,40,Centre of Time Square,"Right in the centre of Times Square Had a 10 minute wait as tables were busy. Usual hard rock menu, burgers etc Felt a little rushed but food was good"
106,16 January 2019,50,"Great atmosphere, tasty food","Fairly early dinner, so before main rush, and seated straightaway. Staff very friendly and helpful. Loved the atmosphere and the food - the fries were delicious. Opted for non-alcoholic cocktails which were superb."
107,11 January 2019,40,Great fun!,"Had post dinner drinks at HRC, and it is vibrant. Drinks are relatively cheap compared to the restaurants in NYC. Good place to hang out & chill."
108,8 January 2019,50,Great service again and again,We have been twice at the HRC. Food was as tasty as always. Outstanding service delivered by Rafael. Thanks a lot. You are a great ambassador for the HRC New York.
109,30 December 2018,50,Very good food and service,"Located in a very convenient place in NYC, the food was very good and the wait staff were friendly and helpful. Awesome nachos!!"
110,29 December 2018,50,Dinner in NYC,We visit lots of HRC and have membership so we had a reward of entree for free. We both had the Fajitas which are delicious but a lot of food.
111,15 December 2018,50,Great food and service,Food here was great matched by the service. The bbq pork burger was great as were the.nachos. loved the experience.
112,12 December 2018,50,Great fun venue,"We arrived, got what we intended, paid and left, quick easy pleasant and not too expensive. When there's so much to see there's no time for eating haha"
113,7 December 2018,50,Good food,Visited twice during our 4 night stay as hotel is close to Times Square. Can be expensive but go early and you then do not have to queue for a seat
114,4 December 2018,50,Always visit a Hard Rock when we travel,"Visited this branch on our recent visit. Bigger louder and busier than other recent visits Best service of any of the recent branches we have visited our server was amazing...so friendly and food and drinks were prompt, hot and tasty"
115,3 December 2018,40,lovely food,"great place, staff friendly and efficient and the food is excellent, Brilliant atmosphere. We had a photo taken which if you want is added to the bill and it was still cheaper than other places we had eaten - great"
116,1 December 2018,50,Great Hard Rock,"I have been to six Hard Rocks and this is by far the best. While crowded, as expected, they were efficient in getting patrons in and out. The food was outstanding and better than you would expect. Well kept and clean setting."
117,29 November 2018,50,What’s not to like!,"Had a really lovely meal, staff were excellent & professional & didn’t wait long for the table or the food to arrive."
118,18 November 2018,50,Good food and service,Great food and great service. Went on Friday night and didn't have to wait for a seat. Great atmosphere and good music on. $15 for a beer but you get to keep the glass!
119,12 November 2018,40,They will rock you!,"It's New York, it's the Hard Rock Cafe, it;'s bold, brash, loud and what most of the customers want it to be. Food is average but that's not what they come for, the experience, the rush is all there - rock on!"
120,7 November 2018,50,Good visit!,"I like Hard Rock Cafe all over the world, so the visit was great again. Good burgers, Long Island Ice Tea and service."
121,7 November 2018,50,A dream come true,"How could a rock fan be in New York and not visit the HRC?! For us, it was a dream come true to see the all the displays in person. That was food enough for our souls!"
122,6 November 2018,40,Just a quick drink but a fun place to see,"We didn't eat here, but the vibe is cool, decor is great with so much nostalgia. Sat in the bar and it is loud, but hey, it is NYC!"
123,3 November 2018,50,Hard to resist!,Great menu with a good choice of dishes. Reasonably priced for New York. Great service. Lots of memorabilia and of course the Hard Rock shop.
124,1 November 2018,50,First time New York,Excellent evening atmosphere brilliant Service excellent as experienced in other restaurants food and drinks expensive but as we soon found out that's New York
125,1 November 2018,50,Great burgers Legendary!,Perfectly located HRC in New York. Amazing interiors and like everywhere perfect burgers. Staff bery friendly. So it is great place for burgers and some drinks.
126,31 October 2018,50,Another great evening,We always hit a hard rock when we are away this trip was no exception. Plenty to drink and eat whilst listening to good music. We had to sit at the bar as it was so busy. But well worth it.
127,30 October 2018,40,Not a bad breakfast.,First morning in NYC we decided to go here for breakfast. Food was nice. A little expensive & service was slow but the staff were friendly & helpful. Good pancakes!
128,23 October 2018,50,Amazing!,"When it is about Hard Rock, is always a good idea and even better when it’s situated in New York! We had an awesome time there, full of amazing music and delicious food. Can’t wait to come back!"
129,23 October 2018,40,Usual HRC fare,If you've been to one Hard Rock Café then you now the menu. This one is pretty big and serves up the same food. Enjoyed our visits.
130,22 October 2018,20,not as used to be.. same old food and bad staff,I think this is the works Hard Rock Cafe... the facilities are so dark and dirty.. staff aiming for you to leave and the food is the same as ever. Do not recommend it.
131,20 October 2018,50,The best service we received in New York!,"We had a great evening at this restaurant celebrating Mum’s 50th Birthday. There was 12 of us and our waitress Amanda was so lovely and friendly and provided a faultless service, so thank you Amanda :)"
132,15 October 2018,50,Girls weekend in NYC,"Great service, Great food. Didnt have to wait long for our table and we went on a friday night at 5pm. Drinks were great. Our waitress was amazing. food was delicous."
133,7 October 2018,50,Love the vibe,"This place really transports you to your own world of rock and roll, take me back anytime. This is such a tourist trap, but they are a quality restaurant despite"
134,7 October 2018,50,Dinner at HRC New York,"HRC is one of my favorite places. This location provided great food, great service and is nicely located. Waiting time was over an hour but the experience compensated the waiting time."
135,2 October 2018,40,Great food,Arrived around 10:30pm after a full day at niagra falls. We were seated immediately and had wonderful service throughout. We ordered a burger meal between us as portions are large. Food was fabulous as ever
136,2 October 2018,30,good for a quick bite,"service was fast. food was okay. didn't like the fact that the restaurant was in the basement, however I had limited time to get a bite to eat so I ended up here. it okay. nothing fancy"
137,2 October 2018,50,good food,had food here on a very busy saturday evening in september. Got seated alot quicker than we got told which was a bonus. The food was very good also.
138,18 September 2018,50,Wonderful Time,"We stopped in for a brew and nachos and rest. Place was fun, great service. Great nachos. Gift shop is spectacular, bought alot of shirts, and stuff. Went back again. Gift shop staff were fun and attentive."
139,15 September 2018,20,Poor and overrated.,Little atmosphere and overpriced food and drink. The black bean and quinoa burger was disgusting - they really should come up with a DECENT vegetarian option. Good service. London is a much better venue
140,12 September 2018,20,waste of money,I really do not underdtand people who like these place ( I know many ) and are happy to buy a 3 usd shirt for 30 bucks just for the logo ! absolute crazyness the food is not gret but not so bad too
141,12 September 2018,30,Nothing special,"Nice ribs, steak was very dry (ordered medium but the one we got was more well done) service is very hostipale. Pricing OK."
142,10 September 2018,50,Brilliant,Greta food and overall awesome experience at the New York hard rock. This is a very busy hard rock and although had to wait to sit down it was well worth the wait
143,9 September 2018,50,"Shopping original ""Hard rock cafe"" products is perfect","You can shop very nice original products manufactured for ""Hard Rock Cafe"".Very crowd shop but you can find everything you want.Nice to watch,nice to shop."
144,29 August 2018,40,Fab burgers!,A fun place to visit. Lots of cool memorabilia and great music. The portions are big. The nachos were great. Friendly service. Quite expensive but it is Times Square after all.
145,27 August 2018,50,Love it!,"A HRC rarely disappoints me. This is one of the greatest I have been. Great memorabilia, plus they serve my favorite bbq chicken wings in the whole world."
146,26 August 2018,30,Ehhh,It was ok. The food was mediocre. The only part of the good I liked was the burger. The place was cool though. A little on the expensive side.
147,22 August 2018,50,Lovely meal,We had a lovely meal here we waited about 25 minutes to be seated. We were served by Monica who was lovely she explain the menu and was really on the ball with serving everyone. The pull pork burger is highly recommended.
148,21 August 2018,50,Perfect,"I visited Hard Rock Cafe NYC on my birthday so it good music, reasonable price. I will come again. Let come and enjoy"
149,20 August 2018,50,Excellent Venue,"Called in for lunch, friendly, efficient and professional staff, speedy service with a smile, comfortable seating and excellent food."
150,20 August 2018,50,Family visit,"Great service. Wonderful food! Out of town family sightseeing in the city. Great place for lunch, staff even led a chorus of Happy Birthday and brought out a ""Birthday Sundae""."
151,16 August 2018,50,Perfect !,"We visited Hard Rock Cafe in January so it was not very chaotic. Very good music ,the staff was very friendly and attentive, very good variety of drinks. Worth the visit 10000%,Would come again for sure!!!!!!!!!!!"
152,13 August 2018,50,I come back,"Always good come back in a great place... After some time, I went back to Hard Rock Cafe NYC, wonderful place with best burgger and great services... Go there and enjoy"
153,9 August 2018,50,Great visit,As always with hard rocks - great service and food - couldn't fault - didn't book but turned up and advised needed to wait for table but was only short time - great staff
154,7 August 2018,50,A meat lovers dream.,The food is great and the waiters are terrific. Prices are great too! Our family choices ranged from salmon to steak to fajitas to burgers.
155,4 August 2018,40,Little bizarre,"Food was really good, server was awesome. For Nashville it was kind of bland and weird. Not a ton of stuff on the walls. The music video TVs where kind of annoying"
156,2 August 2018,40,Great Burgers,"Really enjoyed Hard Rock cafe New York. Food and drinks were reasonably priced in comparison to other similar restaurants on New York. Food was a good quality, yummy burger! Kids menus were great and service was good too. Would definately recommend."
157,2 August 2018,50,Best Hard Rock Cafe we have been to,"This Hard Rock Café is just huge with the most amazing collection of memorabilia that we have ever seen. Add to that great food and good service with fair prices, what else would you need?"
158,1 August 2018,40,You need to see this one,You need to see this one. You have to see this once because you love rock or because you want to look inside. Original object and photos can be seen on the walls about lengendary musicians.
159,29 July 2018,50,nice meal and visit,This is a very busy multi level restaurant. We were greeted in a timely fashion and seated after a very short wait. The meal was nicely served and pleantyful. Reasonably priced for New York.
160,23 July 2018,50,Lovely place for a fun group meal!,"Resturant lived up to the good reputations that HRCs have - staff were engaging and delightful. The food was of a good standard, with interesting options available to order. Well worth the visit, looking forward to the next one!"
161,10 July 2018,20,Not as good as expected,"Food basic & expensive . Staff welcoming & good service but food a let down , my ribs was luke warm . Would not return"
162,7 July 2018,50,Great Customer Service,"We stopped in the Hard Rock Cafe gift shop for some souvenirs while visiting NYC. We didn't eat the food here, so I can't comment on it. We did, however, buy merchandise and the folks working in the gift shop were friendly and helpful."
163,7 July 2018,10,Terrible,They need to hire front door/host desk staff that have manners and are trained to be customer friendly. Deplorable.
164,29 June 2018,20,"Food mediocre, scruffy surroundings","Sticky tablecloth, no atmosphere, veggie burger wasn't nice, quite expensive for the quality of the food."
165,23 June 2018,50,Perfect with kids,We stopped here with two young kids after visiting Times Square and it was a perfect little hideout with food the kids loved. Definitely a great stop to get out of the heat.
166,22 June 2018,40,Great location in Times Square. Quick service,Hard Rock is right in Times Square. The staff is nice. Food was average/acceptable/expensive as expected. the Hard Rock store of souvenirs in right inside.
167,18 June 2018,50,Excellent as always,"Great food, excellent atmosphere, very busy but the that added to the vibe. The service was good considering how busy it was. The fact it was in time square was a bonus. Another hard rock ticket off the list 👌"
168,8 June 2018,50,Great atmosphere,"Hard Rock has a great atmosphere with great food and great service. Our waiter who was called Timothy was fantastic he genuinely made us feel valued and couldn't do enough for us, checking regularly that our food and everything was ok."
169,4 June 2018,40,Bar food is good,"Dropped in here after a days sight-seeing. Had food and a few drinks at the bar because it was busy. Similar to other HR's I've been to, didn't disappoint."
170,3 June 2018,30,Average at best,"Food was average, decor was average, service was average. Nothing special. No different than any other Hard Rock Cafe"
171,29 May 2018,40,Great food,"Long wait for table so ordered at the bar. Chicken Caesar salad was delish with plenty of chicken. Two pulled pork burgers were fab, couldn't finish them. Drinks were nice and cold, perfect. Prices are typical NYC."
172,28 May 2018,40,Great Burgers,"Burgers and music, that's what you want from Hard Rock Cafe. Both meat and vegetarian burgers were exquisite. Place can get crowded but it is not that noticeable when you are having a good time."
173,22 May 2018,30,Inconsistent,Went twice first was really good and the waitress that had just moved from Washington was brilliant. Next visit cold food terrible staff and I'm sorry but the Mexican staff need to go on customer service course
174,22 May 2018,50,Pam Peterson,"OMG if you go to Time Square you have to go to Hard Rock the food was amazing the atmosphere was super,the staff were excellent a must go to."
175,20 May 2018,50,Amazing and wonderful place!,"Eating here in New York, at Time Square...in this wonderful place...it has been great! Delicious food (special advice for hamburgers and mix of appetizers!!!), beautiful and very very good cocktails, kindness... our favorite place to eat in Manhattan! Try it soon!"
176,17 May 2018,30,"Met our needs , but nothing special","Our daughter has allergies and the could accommodate us. The waitress was nice and the food came quickly, but it was nothing special!"
177,17 May 2018,40,Always a good time and good food,We took our kids here on a school trip to NYC. They were really taken in by the memorabilia. The service and food is quite good. The staff is efficient and all 50 of us were served without much delay.
178,16 May 2018,40,Standard hard rock cafe,Usual hard rock cafe. They had a veggie burger which i'd not seen elsewhere before. Food was pretty good.
179,8 May 2018,50,Spot on,"Dropped in for a pint and a break from the sun. The bar is underground and when you are in there it’s perfectly air conditioned, great bar staff were very friendly also"
180,3 May 2018,50,Rock On!,I travel a lot and if there's a HR nearby I'm there. This is a GREAT one! And what a great location in Times Square. Highly recommended!
181,1 May 2018,50,Great food and service,Had a great experience here. The food was 10/10. The service off Delilah was amazing. The atmosphere great. Good music and not over priced compared with the rest of NYC.
